MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
367788350,2020-01-01T00:00:03,40.51053,-73.22883,11,236.4,234,SEA WATCHER II,IMO9831610,WDJ5509,30,0,,,,,A
367571640,2020-01-01T00:00:06,40.04696,-80.73103,0,360,511,SENECA CHIEF,,WDG7867,31,15,20,,,,A
367493450,2020-01-01T00:00:00,29.62758,-92.27007,4.8,205.9,207,ODYSSEA VALOR,IMO9555620,WDF8302,90,0,50,10,3,70,A
367057420,2020-01-01T00:00:07,30.00987,-93.97253,0,252.4,243,JACK ODOM,,WDC6519,31,0,31,10,,,A
367005190,2020-01-01T00:00:11,29.14489,-90.21742,0,242.8,511,JOHNNY SR,,WTP4938,31,15,22,8,,,A
367401290,2020-01-01T00:00:06,29.37201,-94.84383,10.9,105.3,511,GEORGE,,WDE8076,31,0,30,11,,52,A
367711450,2020-01-01T00:00:09,29.7393,-94.08708,5.9,51.3,511,CAPT ED,,WDI5723,31,0,20,8,,,A
367431860,2020-01-01T00:00:07,26.71532,-80.04862,0,237.4,511,TORTUGA,,WDF2785,37,0,,,,90,A
338107888,2020-01-01T00:00:08,32.13553,-81.13945,0.6,25.4,291,HAMPTON ROADS,,,90,3,36,9,,,A
367741140,2020-01-01T00:00:03,39.27374,-76.5991,0,258.7,25,ANDREA,IMO8966717,WDI8687,31,0,28,9,,31,A
367127120,2020-01-01T00:00:10,27.79638,-97.02216,1.3,218.3,511,CAPT WICK,,WCZ7147,33,0,0,0,3.5,33,A
367003890,2020-01-01T00:00:08,29.76054,-95.1047,0.1,137.2,511,MIKE CHARLEVILLE,,WDC3206,31,0,17,6,,31,A
338118674,2020-01-01T00:00:09,33.72624,-118.26904,0.1,179.8,241,BAYWATCH 19,,WZB9310,90,15,,,,,A
367601440,2020-01-01T00:00:05,29.1332,-90.22039,0.1,221.5,351,MR ERNIE,IMO9735696,WDH2812,90,0,53,10,,,A
369339000,2020-01-01T00:00:01,33.73357,-118.25168,0,251,251,PRESIDENT KENNEDY,IMO9295218,WPKW,70,0,299,42,11.2,79,A
369980000,2020-01-01T00:00:09,37.78092,-122.25123,0,37,307,USS FORREST SHERMAN,,NFPS,90,0,155,20,,,A
368011000,2020-01-01T00:00:07,47.98258,-122.22902,0.5,316.9,216,USS KIDD,,NKID,90,0,,,,,A
316002956,2020-01-01T00:00:05,48.55665,-124.41902,0.4,351.6,511,,,,,0,,,,,A
366977480,2020-01-01T00:00:09,30.42869,-91.2036,0.1,231.3,511,FLICKER,,WDB9507,31,0,15,7,,52,A
368102010,2020-01-01T00:00:06,41.08739,-72.35857,0,145.2,511,,,,,15,,,,,A
367579120,2020-01-01T00:00:00,30.10636,-93.30417,0,225.3,511,TERRY FONTENOT,,WDG8590,31,0,16,7,,31,A
566183000,2020-01-01T00:00:05,25.04784,-79.65103,5.6,194.5,192,,,,,0,,,,,A
367441460,2020-01-01T00:00:07,29.36395,-89.303,0,231.8,511,CROSBY LADY,,WDF3568,31,0,19,6,,31,A
316002280,2020-01-01T00:00:06,45.41085,-83.18859,13.8,137.6,137,,,,,0,,,,,A
368034910,2020-01-01T00:00:06,37.07546,-89.25597,8.5,158.1,511,,,,,0,,,,,A
369001000,2020-01-01T00:00:06,47.63537,-122.32948,0.1,292,511,CAPE FLATTERY,IMO8990964,WDI2129,90,0,56,12,3.4,30,A
367683579,2020-01-01T00:00:06,40.12193,-91.51324,0,100,511,,,,,15,,,,,A
367448570,2020-01-01T00:00:05,29.78665,-95.08274,0,226.2,511,AMMIE,,WDF8286,31,15,29,9,,52,A
366983010,2020-01-01T00:00:06,29.82059,-93.97202,0.1,254.2,511,,,,,0,,,,,A
368029450,2020-01-01T00:00:06,28.93899,-95.3363,0,356.5,104,,,,,5,,,,,A
367433340,2020-01-01T00:00:05,57.78521,-152.41846,0,314,240,SEA MAC,IMO7308645,WDF2906,30,7,19,6,,,A
316030644,2020-01-01T00:00:11,49.52661,-124.8461,0,276.5,60,BAYNES SOUND CONNECT,IMO9739252,CFN7319,,3,78,,,,A
367473180,2020-01-01T00:00:11,32.82543,-79.89885,0,177.2,511,ATLANTIC,IMO8759102,WDF6336,90,15,53,21,2.7,33,A
367544960,2020-01-01T00:00:05,29.77628,-95.10107,0,255.5,270,THUNDER,,WDG5276,31,0,22,,,,A
538007957,2020-01-01T00:00:03,39.66411,-74.03645,1.8,72,79,NEPTUNE,IMO7504237,V7II9,99,0,49,10,6.2,99,A
367385550,2020-01-01T00:00:01,47.64587,-122.31186,0,0,511,COHO,,WDE6838,37,,17,5,,,B
366961470,2020-01-01T00:00:06,30.06441,-90.85474,0,39.8,300,PATRICIA I HART,,WDB8608,31,0,52,15,,,A
366952790,2020-01-01T00:00:04,40.67222,-74.04267,17.6,215,215,GUY V MOLINARI,IMO9333486,WDB8295,60,0,94,21,4.2,60,A
366990010,2020-01-01T00:00:02,37.84912,-89.74169,0,219.7,336,SHERYL,,WDC2249,31,0,24,11,,31,A
369970377,2020-01-01T00:00:01,32.38501,-90.90451,0,236.2,511,SANDERFORD,,AEAL,90,15,,,,31,A
319123900,2020-01-01T00:00:08,26.09874,-80.16357,0.1,238.2,358,ALESSANDRA,IMO9331969,ZGHC3,37,3,47,8,2.3,37,A
367627450,2020-01-01T00:00:08,25.78017,-80.18067,0,97.4,511,GEORGE T MORAN,IMO9764116,WDH5386,31,0,28,11,3.3,,A
370361000,2020-01-01T00:00:01,34.62787,-121.02541,12.3,324.9,322,HAGEN,IMO9516868,3ESM8,70,0,147,23,8.2,,A
338149294,2020-01-01T00:00:01,24.56275,-81.80056,0,166.3,511,WATERFORD,,,37,,28,7,,,B
366951590,2020-01-01T00:00:09,29.31058,-94.79019,0,360,511,CAPT JOHN,,WDB8024,60,0,20,8,,,A
367647050,2020-01-01T00:00:00,30.16001,-91.00152,9.7,86.6,511,USS CAIRO,,WDH7325,31,0,20,,,,A
367557080,2020-01-01T00:00:12,29.72592,-90.12193,0,360,511,MISS ELSIE D,,WDG6446,31,0,18,7,,,A
369970622,2020-01-01T00:00:00,30.35745,-81.62,0,297.7,511,FLORIDA II,,AEMF,,3,12,,,,A
367780890,2020-01-01T00:00:07,47.6461,-122.328,0,50.7,511,ESTIVA,,WDJ4764,37,15,23,,,,A
366948350,2020-01-01T00:00:07,36.8387,-76.29125,0,135,335,CAPT HENRY KNOTT,,WDB7829,31,0,23,9,,52,A
316013215,2020-01-01T00:00:03,45.0933,-83.05853,11.2,160.7,163,ALGOCANADA,IMO9378591,CFN5193,80,0,129,19,7.6,89,A
